word,pronunciation,let1,phon1,gpc1,let2,phon2,gpc2,let3,phon3,gpc3,gpcs
ben,bEn,b,b,b_b_,e,E,e_E_,n,n,n_n_,b_b_ e_E_ n_n_
dan,dan,d,d,d_d_,a,a,a_a_,n,n,n_n_,d_d_ a_a_ n_n_
don,dAn,d,d,d_d_,o,A,o_A_,n,n,n_n_,d_d_ o_A_ n_n_
gus,gVs,g,g,g_g_,u,V,u_V_,s,s,s_s_,g_g_ u_V_ s_s_
hal,hal,h,h,h_h_,a,a,a_a_,l,l,l_l_,h_h_ a_a_ l_l_
hun,hVn,h,h,h_h_,u,V,u_V_,n,n,n_n_,h_h_ u_V_ n_n_
jeb,JEb,j,J,j_J_,e,E,e_E_,b,b,b_b_,j_J_ e_E_ b_b_
jim,JIm,j,J,j_J_,i,I,i_I_,m,m,m_m_,j_J_ i_I_ m_m_
ken,kEn,k,k,k_k_,e,E,e_E_,n,n,n_n_,k_k_ e_E_ n_n_
lib,lIb,l,l,l_l_,i,I,i_I_,b,b,b_b_,l_l_ i_I_ b_b_
liz,lIz,l,l,l_l_,i,I,i_I_,z,z,z_z_,l_l_ i_I_ z_z_
meg,mEg,m,m,m_m_,e,E,e_E_,g,g,g_g_,m_m_ e_E_ g_g_
mel,mEl,m,m,m_m_,e,E,e_E_,l,l,l_l_,m_m_ e_E_ l_l_
nam,nAm,n,n,n_n_,a,A,a_A_,m,m,m_m_,n_n_ a_A_ m_m_
nan,nan,n,n,n_n_,a,a,a_a_,n,n,n_n_,n_n_ a_a_ n_n_
nov,nov,n,n,n_n_,o,o,o_o_,v,v,v_v_,n_n_ o_o_ v_v_
pam,pam,p,p,p_p_,a,a,a_a_,m,m,m_m_,p_p_ a_a_ m_m_
ron,rAn,r,r,r_r_,o,A,o_A_,n,n,n_n_,r_r_ o_A_ n_n_
sam,sam,s,s,s_s_,a,a,a_a_,m,m,m_m_,s_s_ a_a_ m_m_
sol,sAl,s,s,s_s_,o,A,o_A_,l,l,l_l_,s_s_ o_A_ l_l_
ted,tEd,t,t,t_t_,e,E,e_E_,d,d,d_d_,t_t_ e_E_ d_d_
tim,tIm,t,t,t_t_,i,I,i_I_,m,m,m_m_,t_t_ i_I_ m_m_
tom,tAm,t,t,t_t_,o,A,o_A_,m,m,m_m_,t_t_ o_A_ m_m_
zen,zEn,z,z,z_z_,e,E,e_E_,n,n,n_n_,z_z_ e_E_ n_n_
bad,bad,b,b,b_b_,a,a,a_a_,d,d,d_d_,b_b_ a_a_ d_d_
bag,bag,b,b,b_b_,a,a,a_a_,g,g,g_g_,b_b_ a_a_ g_g_
ban,ban,b,b,b_b_,a,a,a_a_,n,n,n_n_,b_b_ a_a_ n_n_
